value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,summary,security_summary
1,1,MC38R2,150,80,36,31.54,1021.6,493.0,1546.14,10.308,80级，36黄，15金角色，12金武器，13浮金波纹，44月相，7铸潮波纹，数据坞等级27，2071星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
2,27,MC193N,100,70,33,7.16,730.4,199.0,936.56,9.366,70级，33黄，14金角色，8金武器，7浮金波纹，数据坞等级27，0命卡提希娅，0命千咲，0命弗洛洛，0命夏空，0命仇远，25星声，其它详情看图,不能解绑Wegame 未绑定TAP 无换绑冷却
3,37,MCHEQA,98,80,30,0.11,644.2,240.0,884.31,9.024,80级，30黄，15金角色，11金武器，5月相，数据坞等级28，17星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
4,4,MC311K,150,80,36,17.64,875.65,393.0,1286.29,8.575,80级，36黄，15金角色，12金武器，1皮肤，9浮金波纹，3月相，9铸潮波纹，数据坞等级29，231星声，其它详情看图,未绑定Wegame 不送TAP 无换绑冷却
5,9,MCE6CB,135,80,28,0.86,926.6,218.0,1145.46,8.485,80级，28黄，14金角色，8金武器，1皮肤，数据坞等级30，0命守岸人，0命卡提希娅，1命千咲，0命尤诺，0命弗洛洛，138星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
6,2,MCBQS7,160,80,34,1.14,903.6,443.0,1347.74,8.423,80级，34黄，15金角色，13金武器，1皮肤，数据坞等级30，182星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
7,23,MCBKG5,120,73,38,3.24,692.0,303.0,998.24,8.319,73级，38黄，16金角色，13金武器，数据坞等级28，518星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
8,3,MC57MS,158,72,34,2.23,872.0,428.0,1302.23,8.242,72级，34黄，14金角色，11金武器，数据坞等级29，1命爱弥斯，0命卡提希娅，0命千咲，0命弗洛洛，0命夏空，357星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
9,7,MC3ST9,150,75,33,1.05,969.7,254.0,1224.75,8.165,75级，33黄，15金角色，10金武器，1皮肤，6月相，数据坞等级25，168星声，其它详情看图,能解绑Wegame 不送TAP 无换绑冷却
10,20,MC37G5,130,77,27,7.01,791.6,239.0,1037.61,7.982,77级，27黄，14金角色，7金武器，5浮金波纹，数据坞等级29，0命琳奈，0命守岸人，0命弗洛洛，0命奥古斯塔，0命嘉贝莉娜，321星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
11,5,MC2Z71,160,74,42,0.72,889.3,384.0,1274.02,7.963,74级，42黄，18金角色，11金武器，数据坞等级30，116星声，其它详情看图,不能解绑Wegame 送TAP 有换绑冷却
12,11,MC4A57,138,76,32,3.12,738.2,348.0,1089.32,7.894,76级，32黄，14金角色，11金武器，数据坞等级30，0命琳奈，0命守岸人，1命卡提希娅，0命仇远，0命嘉贝莉娜，500星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
13,13,MCGVQV,138,71,32,11.24,826.2,244.0,1081.44,7.837,71级，32黄，14金角色，8金武器，1皮肤，3浮金波纹，7铸潮波纹，数据坞等级30，0命琳奈，1命卡提希娅，0命千咲，0命奥古斯塔，1命坎特蕾拉，423星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
14,55,MCH51L,80,71,25,10.81,494.6,120.0,625.41,7.818,71级，25黄，14金角色，7金武器，3浮金波纹，2唤声涡纹，2铸潮波纹，数据坞等级25，993星声，其它详情看图,未绑定Wegame 不送TAP 无换绑冷却
15,22,MC4KHZ,130,68,26,8.84,815.9,188.0,1012.74,7.79,68级，26黄，14金角色，8金武器，8浮金波纹，数据坞等级24，0命爱弥斯，0命琳奈，0命守岸人，1命卡提希娅，0命奥古斯塔，134星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
16,6,MCB4RP,160,80,41,7.88,943.6,283.0,1234.48,7.716,80级，41黄，18金角色，8金武器，1皮肤，3浮金波纹，6铸潮波纹，数据坞等级29，13星声，其它详情看图,能解绑Wegame 未绑定TAP 无换绑冷却
17,19,MC2URJ,139,69,29,0.26,781.2,260.0,1041.46,7.493,69级，29黄，15金角色，8金武器，1皮肤，数据坞等级26，41星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
18,14,MCG8KV,140,73,23,63.54,764.6,220.0,1048.14,7.487,73级，23黄，14金角色，6金武器，16浮金波纹，680月相，1铸潮波纹，数据坞等级29，0命爱弥斯，0命琳奈，0命莫宁，0命弗洛洛，0命坎特蕾拉，7478星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
19,16,MC8NQ1,140,77,35,13.29,844.6,188.0,1045.89,7.471,77级，35黄，16金角色，7金武器，数据坞等级29，2126星声，其它详情看图,未绑定Wegame 未绑定TAP 无换绑冷却
20,10,MC5RD8,155,75,33,0.36,796.6,338.0,1134.96,7.322,75级，33黄，15金角色，10金武器，1皮肤，数据坞等级28，57星声，其它详情看图,未绑定Wegame 送TAP 无换绑冷却
21,8,MC9V6K,160,80,38,1.59,968.6,180.0,1150.19,7.189,80级，38黄，20金角色，7金武器，1皮肤，数据坞等级26，255星声，其它详情看图,未绑定Wegame 未绑定TAP 有换绑冷却
