rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,matched_tier_roles,unmatched_roles_count,tier_breakdown,weapon_breakdown
1,35196500,80,64,24,0.66,718.35,293.00,1012.01,12.650,9,13,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 维里奈:T1@2鸣=68.0 | 绯雪:T0@0鸣=111.0 | 西格莉卡:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 昭日译注:signature->西格莉卡@1鸣=60.0 | 宙算仪轨:signature->莫宁@1鸣=50.0 | 溢彩荧辉:signature->琳奈@1鸣=60.0 | 源能机锋:standard->常驻@1鸣=20.0
2,35473797,50,50,12,12.56,440.60,90.00,543.16,10.863,7,13,散华:T2@6鸣=33.6 | 达妮娅:T0.5@0鸣=85.0 | 奥古斯塔:T0.5@0鸣=99.0 | 露帕:T0.5@0鸣=70.0 | 守岸人:T0@0鸣=108.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
3,35029382,60,53,22,0.48,288.30,239.00,527.78,8.796,6,12,散华:T2@3鸣=27.3 | 赞妮:T1@1鸣=56.0 | 陆·赫斯:T0.5@0鸣=70.0 | 仇远:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@4鸣=39.0 | 白昼之脊:signature->陆·赫斯@1鸣=50.0 | 裁竹:signature->仇远@1鸣=30.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 裁春:signature->椿@1鸣=30.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
4,35698165,100,64,18,0.15,576.10,274.00,850.25,8.502,8,13,散华:T2@4鸣=30.1 | 卜灵:T2@1鸣=7.0 | 绯雪:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 尤诺:T0.5@0鸣=79.0 | 守岸人:T0@0鸣=108.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@3鸣=34.0 | 灼霜:signature->绯雪@1鸣=60.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 星序协响:signature->守岸人@1鸣=60.0
5,35586356,85,64,18,17.59,476.80,220.00,714.39,8.405,7,12,维里奈:T1@2鸣=68.0 | 散华:T2@2鸣=23.8 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 赞妮:T1@0鸣=40.0,溢彩荧辉:signature->琳奈@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
6,35706803,130,75,35,0.06,698.60,387.00,1085.66,8.351,14,13,卜灵:T2@5鸣=11.5 | 散华:T2@4鸣=30.1 | 绯雪:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@5鸣=43.0 | 千古洑流:signature->今汐@2鸣=14.0 | 灼霜:signature->绯雪@1鸣=60.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 琼枝冰绡:signature->折枝@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0
7,34849376,65,58,16,76.64,341.20,123.00,540.84,8.321,5,13,散华:T2@5鸣=32.2 | 维里奈:T1@2鸣=68.0 | 西格莉卡:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 菲比:T1@0鸣=40.0,血誓盟约:standard->常驻@5鸣=43.0 | 昙切:signature->千咲@1鸣=50.0 | 和光回唱:signature->菲比@1鸣=30.0
8,35622973,110,63,22,3.65,776.60,118.00,898.25,8.166,10,14,卜灵:T2@6鸣=12.0 | 散华:T2@6鸣=33.6 | 达妮娅:T0.5@0鸣=85.0 | 绯雪:T0@0鸣=111.0 | 西格莉卡:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0,血誓盟约:standard->常驻@2鸣=28.0 | 赝作的矮星:signature->达妮娅@1鸣=50.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
9,35535674,115,80,32,32.96,647.80,240.00,920.76,8.007,12,13,散华:T2@6鸣=33.6 | 守岸人:T0@1鸣=151.2 | 今汐:T2@1鸣=14.0 | 维里奈:T1@1鸣=56.0 | 尤诺:T0.5@0鸣=79.0 | 卡提希娅:T0.5@0鸣=89.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0,万物持存的注释:signature->尤诺@1鸣=50.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 和光回唱:signature->菲比@1鸣=30.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
10,35112357,150,80,30,13.36,869.10,318.00,1200.46,8.003,12,13,散华:T2@6鸣=33.6 | 维里奈:T1@2鸣=68.0 | 卜灵:T2@2鸣=8.5 | 千咲:T0.5@1鸣=126.0 | 绯雪:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@2鸣=28.0 | 灼霜:signature->绯雪@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 焰光裁定:signature->赞妮@1鸣=30.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
