unified_rank,strength_rank,platform,product_id,price,level,total_yellow,team_count,team_bonus,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
1,23,kejinshou,35196500,80.0,64,24,1,100,0.66,718.35,293.0,1112.01,13.9,https://m.kejinshou.com/goods/details/35196500
2,1,pzds,MC38R2,150,80,36,2,200,31.54,1021.6,493.0,1746.14,11.641,https://www.pzds.com/goodsDetails/MC38R2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
3,152,kejinshou,35473797,50.0,50,12,0,0,12.56,440.6,90.0,543.16,10.863,https://m.kejinshou.com/goods/details/35473797
4,34,pzds,MC193N,100,70,33,1,100,7.16,730.4,199.0,1036.56,10.366,https://www.pzds.com/goodsDetails/MC193N/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
5,77,kejinshou,35586356,85.0,64,18,1,100,17.59,476.8,220.0,814.39,9.581,https://m.kejinshou.com/goods/details/35586356
6,45,kejinshou,35698165,100.0,64,18,1,100,0.15,576.1,274.0,950.25,9.502,https://m.kejinshou.com/goods/details/35698165
7,4,kejinshou,35112357,150.0,80,30,2,200,13.36,869.1,318.0,1400.46,9.336,https://m.kejinshou.com/goods/details/35112357
8,24,pzds,MCBKG5,120,73,38,1,100,3.24,692.0,303.0,1098.24,9.152,https://www.pzds.com/goodsDetails/MCBKG5/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
9,105,pzds,MCH51L,80,71,25,1,100,10.81,494.6,120.0,725.41,9.068,https://www.pzds.com/goodsDetails/MCH51L/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
10,2,pzds,MCBQS7,160,80,34,1,100,1.14,903.6,443.0,1447.74,9.048,https://www.pzds.com/goodsDetails/MCBQS7/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
11,66,pzds,MCHEQA,98,80,30,0,0,0.11,644.2,240.0,884.31,9.024,https://www.pzds.com/goodsDetails/MCHEQA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
12,3,pzds,MC57MS,158,72,34,1,100,2.23,872.0,428.0,1402.23,8.875,https://www.pzds.com/goodsDetails/MC57MS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
13,8,pzds,MC3ST9,150,75,33,1,100,1.05,969.7,254.0,1324.75,8.832,https://www.pzds.com/goodsDetails/MC3ST9/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
14,159,kejinshou,35029382,60.0,53,22,0,0,0.48,288.3,239.0,527.78,8.796,https://m.kejinshou.com/goods/details/35029382
15,18,pzds,MC37G5,130,77,27,1,100,7.01,791.6,239.0,1137.61,8.751,https://www.pzds.com/goodsDetails/MC37G5/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
16,13,pzds,MC4A57,138,76,32,1,100,3.12,738.2,348.0,1189.32,8.618,https://www.pzds.com/goodsDetails/MC4A57/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
17,5,pzds,MC2Z71,160,74,42,1,100,0.72,889.3,384.0,1374.02,8.588,https://www.pzds.com/goodsDetails/MC2Z71/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
18,9,pzds,MC311K,150,80,36,0,0,17.64,875.65,393.0,1286.29,8.575,https://www.pzds.com/goodsDetails/MC311K/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
19,22,kejinshou,35727655,130.0,68,21,1,100,28.18,664.15,320.0,1112.32,8.556,https://m.kejinshou.com/goods/details/35727655
20,16,pzds,MCE6CB,135,80,28,0,0,0.86,926.6,218.0,1145.46,8.485,https://www.pzds.com/goodsDetails/MCE6CB/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
21,10,pzds,MCCU7X,149,80,35,3,300,0.53,714.2,244.0,1258.73,8.448,https://www.pzds.com/goodsDetails/MCCU7X/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
22,6,pzds,MC9V6K,160,80,38,2,200,1.59,968.6,180.0,1350.19,8.439,https://www.pzds.com/goodsDetails/MC9V6K/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
23,26,kejinshou,35706803,130.0,75,35,0,0,0.06,698.6,387.0,1085.66,8.351,https://m.kejinshou.com/goods/details/35706803
24,7,pzds,MCB4RP,160,80,41,1,100,7.88,943.6,283.0,1334.48,8.341,https://www.pzds.com/goodsDetails/MCB4RP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
25,31,kejinshou,35939793,126.0,73,38,1,100,3.24,653.4,293.0,1049.64,8.33,https://m.kejinshou.com/goods/details/35939793
26,154,kejinshou,34849376,65.0,58,16,0,0,76.64,341.2,123.0,540.84,8.321,https://m.kejinshou.com/goods/details/34849376
27,17,pzds,MC2URJ,139,69,29,1,100,0.26,781.2,260.0,1141.46,8.212,https://www.pzds.com/goodsDetails/MC2URJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
28,14,pzds,MCG8KV,140,73,23,1,100,63.54,764.6,220.0,1148.14,8.201,https://www.pzds.com/goodsDetails/MCG8KV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
29,61,kejinshou,35622973,110.0,63,22,0,0,3.65,776.6,118.0,898.25,8.166,https://m.kejinshou.com/goods/details/35622973
30,54,kejinshou,35535674,115.0,80,32,0,0,32.96,647.8,240.0,920.76,8.007,https://m.kejinshou.com/goods/details/35535674
31,35,kejinshou,33672237,130.0,80,33,0,0,0.66,778.6,254.0,1033.26,7.948,https://m.kejinshou.com/goods/details/33672237
32,12,pzds,MC2JXN,158,73,32,2,200,0.19,680.6,362.0,1242.79,7.866,https://www.pzds.com/goodsDetails/MC2JXN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
33,27,pzds,MCGVQV,138,71,32,0,0,11.24,826.2,244.0,1081.44,7.837,https://www.pzds.com/goodsDetails/MCGVQV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
34,38,pzds,MCHKYJ,130,80,28,1,100,4.83,668.6,240.0,1013.43,7.796,https://www.pzds.com/goodsDetails/MCHKYJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
35,40,pzds,MC4KHZ,130,68,26,0,0,8.84,815.9,188.0,1012.74,7.79,https://www.pzds.com/goodsDetails/MC4KHZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
