platform,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
7881,201612599874461,900.0,80,61,7.41,1671.3,500.0,2178.71,2.421,https://search.7881.com/201612599874461.html
7881,201612613403519,90.0,51,11,0.28,151.0,160.0,311.28,3.459,https://search.7881.com/201612613403519.html
7881,201612613381524,100.0,80,32,22.56,666.8,220.0,909.36,9.094,https://search.7881.com/201612613381524.html
7881,201612608028422,460.0,75,27,0.18,885.85,303.0,1189.03,2.585,https://search.7881.com/201612608028422.html
7881,201612612496251,130.0,76,30,25.99,525.25,264.0,815.24,6.271,https://search.7881.com/201612612496251.html
7881,201612576141020,480.0,80,43,0.3,966.0,354.0,1320.3,2.751,https://search.7881.com/201612576141020.html
7881,201612612308239,630.0,80,25,186.85,1182.0,300.0,1668.85,2.649,https://search.7881.com/201612612308239.html
7881,201612611341083,405.0,80,51,0.44,1106.1,452.5,1559.04,3.849,https://search.7881.com/201612611341083.html
7881,201612609658151,1888.0,77,47,0.89,1124.55,353.0,1478.44,0.783,https://search.7881.com/201612609658151.html
7881,201612609085142,699.0,80,56,200.19,1144.55,557.0,1901.74,2.721,https://search.7881.com/201612609085142.html
7881,201612607937610,215.0,64,27,9.01,540.6,190.0,739.61,3.44,https://search.7881.com/201612607937610.html
7881,201612590355253,250.0,56,21,5.92,277.25,133.0,416.17,1.665,https://search.7881.com/201612590355253.html
7881,201612595843227,425.0,80,48,4.64,841.0,443.0,1288.64,3.032,https://search.7881.com/201612595843227.html
7881,201612590434051,700.0,76,23,296.57,381.6,149.0,827.17,1.182,https://search.7881.com/201612590434051.html
7881,201612613624659,2555.0,80,33,646.51,340.5,214.0,1201.01,0.47,https://search.7881.com/201612613624659.html
7881,201612613623987,700.0,80,45,0.09,783.3,458.0,1241.39,1.773,https://search.7881.com/201612613623987.html
7881,201612613622082,550.0,80,54,12.81,1180.8,535.0,1728.61,3.143,https://search.7881.com/201612613622082.html
7881,201612613621603,1800.0,80,66,7.68,1494.6,472.5,1974.78,1.097,https://search.7881.com/201612613621603.html
7881,201612613621268,370.0,60,26,4.34,894.0,230.0,1128.34,3.05,https://search.7881.com/201612613621268.html
7881,201612613620916,17477.0,80,254,0.0,3880.0,1718.0,5598.0,0.32,https://search.7881.com/201612613620916.html
7881,201612613619453,60.0,67,23,0.34,571.0,290.0,861.34,14.356,https://search.7881.com/201612613619453.html
7881,201612613452517,260.0,70,14,11.57,395.45,148.0,555.02,2.135,https://search.7881.com/201612613452517.html
7881,201612613618065,190.0,77,31,0.0,983.0,453.0,1436.0,7.558,https://search.7881.com/201612613618065.html
7881,201612613610744,100.0,48,7,0.73,241.0,70.0,311.73,3.117,https://search.7881.com/201612613610744.html
7881,201612613605238,327.0,80,41,0.0,794.8,294.0,1088.8,3.33,https://search.7881.com/201612613605238.html
7881,201612613602490,999.0,80,51,1.17,842.45,313.0,1156.62,1.158,https://search.7881.com/201612613602490.html
7881,201612613599245,1000.0,73,31,1.36,824.4,223.0,1048.76,1.049,https://search.7881.com/201612613599245.html
7881,201612613595456,632.0,80,41,0.73,1099.7,380.0,1480.43,2.342,https://search.7881.com/201612613595456.html
7881,201612613594623,341.0,62,22,0.0,488.4,130.0,618.4,1.813,https://search.7881.com/201612613594623.html
7881,201612613591515,200.0,52,21,10.82,349.0,170.0,529.82,2.649,https://search.7881.com/201612613591515.html
7881,201612613583464,600.0,80,39,0.76,1024.6,363.0,1388.36,2.314,https://search.7881.com/201612613583464.html
7881,201612613579430,710.0,80,63,118.39,1212.7,663.0,1994.09,2.809,https://search.7881.com/201612613579430.html
7881,201612613575595,1300.0,80,68,27.63,1099.7,435.0,1562.33,1.202,https://search.7881.com/201612613575595.html
7881,201612613574324,380.0,76,28,0.36,780.0,253.0,1033.36,2.719,https://search.7881.com/201612613574324.html
7881,201612613568345,500.0,71,31,5.66,853.7,223.0,1082.36,2.165,https://search.7881.com/201612613568345.html
7881,201612613567595,500.0,80,39,0.0,895.6,313.0,1208.6,2.417,https://search.7881.com/201612613567595.html
7881,201612613567498,500.0,80,45,0.0,762.8,225.5,988.3,1.977,https://search.7881.com/201612613567498.html
7881,201612613563403,90.0,44,11,135.55,330.0,170.0,635.55,7.062,https://search.7881.com/201612613563403.html
7881,201612613554745,4300.0,80,63,8.07,1602.6,523.0,2133.67,0.496,https://search.7881.com/201612613554745.html
7881,201612613554347,230.0,77,32,0.0,937.1,193.0,1130.1,4.913,https://search.7881.com/201612613554347.html
7881,201612613554208,140.0,72,31,0.0,596.7,217.0,813.7,5.812,https://search.7881.com/201612613554208.html
7881,201612613554150,650.0,80,55,0.0,1337.5,284.5,1622.0,2.495,https://search.7881.com/201612613554150.html
7881,201612613550463,2000.0,80,86,24.34,1747.75,763.0,2535.09,1.268,https://search.7881.com/201612613550463.html
7881,201612613549182,75.0,60,19,2.63,475.05,180.0,657.68,8.769,https://search.7881.com/201612613549182.html
7881,201612613541980,120.0,54,19,4.01,401.3,53.0,458.31,3.819,https://search.7881.com/201612613541980.html
7881,201612613541350,60.0,50,18,4.76,383.3,133.0,521.06,8.684,https://search.7881.com/201612613541350.html
7881,201612613541047,400.0,71,27,10.1,523.1,173.0,706.2,1.766,https://search.7881.com/201612613541047.html
7881,201612611960702,966.0,80,62,37.58,1334.8,561.0,1933.38,2.001,https://search.7881.com/201612611960702.html
7881,201612613540320,300.0,62,0,0.0,0.0,0.0,0.0,0.0,https://search.7881.com/201612613540320.html
7881,201612613540402,400.0,71,27,2.05,688.4,203.0,893.45,2.234,https://search.7881.com/201612613540402.html
