rank,product_id,price,area_name,level,total_yellow,char5,weapon5,star_voice,fj_waves,zc_waves,hs_waves,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,role_resonance,weapon_resonance,sub_title
1,35029382,60,官服,53,22,7,9,77,0,0,0,0,0.48,1145.48,19.091,6鸣x2 4鸣x3 3鸣x3 2鸣x1 1鸣x3 0鸣x6,4鸣x1 1鸣x8,联觉等级:53 总黄数:22 五星角色数:7 五星武器数:9 1鸣赞妮，1鸣鉴心，1鸣卡卡罗，0鸣陆·赫斯，0鸣仇远，0鸣椿，0鸣维里奈 6鸣白芷，6鸣秧秧，4鸣渊武，4鸣莫特斐，4鸣丹瑾，3鸣桃祈，3鸣秋水，3鸣散华，2鸣釉瑚，0鸣灯灯，0鸣炽霞 4鸣血誓盟约，1鸣白昼之脊，1鸣裁竹，1鸣焰光裁定，1鸣裁春，1鸣浩境粼光，1鸣千古洑流，1鸣漪澜浮录
2,35473797,50,官服,50,12,8,4,602,4,6,2,12,15.76,915.76,18.315,6鸣x2 4鸣x2 3鸣x1 2鸣x3 0鸣x12,1鸣x4,联觉等级:50 总黄数:12 五星角色数:8 五星武器数:4 0鸣达妮娅，0鸣奥古斯塔，0鸣露帕，0鸣守岸人，0鸣鉴心，0鸣卡卡罗，0鸣维里奈，0鸣凌阳 6鸣散华，6鸣炽霞，4鸣桃祈，4鸣渊武，3鸣白芷，2鸣灯灯，2鸣莫特斐，2鸣秧秧，0鸣卜灵，0鸣釉瑚，0鸣丹瑾，0鸣秋水 1鸣驭冕铸雷之权，1鸣血誓盟约，1鸣千古洑流
3,33962162,80,官服,46,24,10,10,125,0,0,0,0,0.78,1450.78,18.135,6鸣x2 5鸣x4 4鸣x3 1鸣x1 0鸣x12,1鸣x10,联觉等级:46 总黄数:24 0鸣仇远，0鸣守岸人，0鸣相里要，0鸣折枝，0鸣今汐，0鸣吟霖，0鸣卡卡罗，0鸣安可，0鸣维里奈，0鸣凌阳 6鸣散华，6鸣白芷，5鸣灯灯，5鸣渊武，5鸣莫特斐，5鸣丹瑾，4鸣桃祈，4鸣秋水，4鸣秧秧，1鸣炽霞，0鸣卜灵，0鸣釉瑚 1鸣镭射切变，1鸣裁竹，1鸣星序协响，1鸣时和岁稔，1鸣掣傀之手，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣停驻之烟，1鸣漪澜浮录 卖家说:出金概率高
4,34783782,60,官服,62,17,10,4,71,0,0,0,0,0.44,1060.44,17.674,6鸣x4 5鸣x4 2鸣x2 1鸣x1 0鸣x10,2鸣x1 1鸣x3,联觉等级:62 总黄数:17 五星角色数:10 五星武器数:4 2鸣凌阳，0鸣尤诺，0鸣露帕，0鸣赞妮，0鸣相里要，0鸣忌炎，0鸣鉴心，0鸣卡卡罗，0鸣安可，0鸣维里奈 6鸣丹瑾，6鸣秋水，6鸣炽霞，6鸣白芷，5鸣桃祈，5鸣渊武，5鸣散华，5鸣秧秧，2鸣灯灯，1鸣莫特斐，0鸣釉瑚 2鸣浩境粼光，1鸣万物持存的注释，1鸣诸方玄枢，1鸣血誓盟约 卖家说:低价出售，有需要的朋友直接秒吧，
5,34532239,60,官服,62,18,9,5,0,0,0,0,0,0.00,1045.00,17.417,1鸣x3 0鸣x6,1鸣x5,62级/18黄/女主/9个五星角色/6个五星武器/未绑定/吟霖/安可/卡卡罗/今汐/维里奈/菲比/忌炎/鉴心/凌阳/时和岁稔/苍鳞千嶂/和光回唱/掣傀之手/千古洑流/1鸣吟霖/1鸣安可/1鸣卡卡罗/0鸣今汐/0鸣维里奈/0鸣菲比/0鸣忌炎/0鸣鉴心/0鸣凌阳/1鸣时和岁稔/1鸣苍鳞千嶂/1鸣和光回唱/1鸣掣傀之手/1鸣千古洑流
6,35939793,126,官服,73,38,16,12,518,0,0,0,0,3.24,2063.24,16.375,2鸣x1 1鸣x3 0鸣x12,5鸣x1 1鸣x11,"73级/38黄/男主/16个五星角色/13个五星武器
未绑定,尤诺,嘉贝莉娜,仇远,琳奈,椿,今汐,珂莱塔,长离,守岸人,相里要,折枝,维里奈,卡卡罗,鉴心,安可,凌阳,溢彩荧辉,源能机锋,光影双生,血誓盟约,琼枝冰绡,诸方玄枢,时和岁稔,掣傀之手,浩境粼光,千古洑流,停驻之烟,漪澜浮录,2命卡卡罗,1命相里要,1命维里奈,1命安可,0命尤诺,0命嘉贝莉娜,0命仇远,0命琳奈,0命椿,0命今汐,0命珂莱塔,0命长离,0命守岸人,0命折枝,0命鉴心,0命凌阳,精5血誓盟约,精1溢彩荧辉,精1源能机锋,精1光影双生,精1琼枝冰绡,精1诸方玄枢,精1时和岁稔,精1掣傀之手,精1浩境粼光,精1千古洑流,精1停驻之烟,精1漪澜浮录"
7,30273015,110,官服,80,35,13,11,0,0,0,0,0,0.00,1755.00,15.955,6鸣x8 5鸣x1 3鸣x2 2鸣x1 1鸣x4 0鸣x8,3鸣x1 2鸣x1 1鸣x9,联觉等级:80 总黄数:35 星声数量:1179 浮金波纹数量:10 铸潮波纹数量:0 唤声涡纹数量:11 五星角色数:13 3鸣安可，2鸣椿，1鸣今汐，1鸣鉴心，1鸣维里奈，0鸣千咲，0鸣奥古斯塔，0鸣洛可可，0鸣守岸人，0鸣折枝，0鸣长离，0鸣卡卡罗，0鸣凌阳 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣散华，6鸣炽霞，6鸣秧秧，5鸣秋水，3鸣白芷，1鸣灯灯 五星武器数:11 3鸣漪澜浮录，2鸣时和岁稔，1鸣驭冕铸雷之权，1鸣裁春，1鸣星序协响，1鸣琼枝冰绡，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣停驻之烟，1鸣擎渊怒涛 叱妖诰
8,28539238,110,官服,80,29,13,11,0,0,0,0,0,0.00,1755.00,15.955,6鸣x8 4鸣x1 2鸣x1 1鸣x4 0鸣x10,2鸣x1 1鸣x10,男/女主:男 总黄数:29 2鸣安可，1鸣鉴心，1鸣凌阳，0鸣奥古斯塔，0鸣坎特蕾拉，0鸣珂莱塔，0鸣椿，0鸣守岸人，0鸣相里要，0鸣长离，0鸣今汐，0鸣吟霖，0鸣卡卡罗 2鸣千古洑流，1鸣和光回唱，1鸣死与舞，1鸣星序协响，1鸣琼枝冰绡，1鸣掣傀之手，1鸣血誓盟约，1鸣浩境粼光，1鸣擎渊怒涛 叱妖诰 卖家说:有奥古斯塔无专武
9,34531879,70,官服,55,17,9,6,0,0,0,0,0,0.00,1110.00,15.857,2鸣x1 0鸣x8,1鸣x6,55级/17黄/男主/9个五星角色/6个五星武器/未绑定/卡卡罗/今汐/维里奈/相里要/长离/忌炎/凌阳/菲比/安可/诸方玄枢/赫奕流明/时和岁稔/擎渊怒涛/千古洑流/苍鳞千嶂/2鸣卡卡罗/0鸣今汐/0鸣维里奈/0鸣相里要/0鸣长离/0鸣忌炎/0鸣凌阳/0鸣菲比/0鸣安可/1鸣诸方玄枢/1鸣赫奕流明/1鸣时和岁稔/1鸣擎渊怒涛/1鸣千古洑流/1鸣苍鳞千嶂
10,35535674,115,官服,80,32,14,10,154,32,0,5,37,37.96,1807.96,15.721,6鸣x10 3鸣x2 2鸣x1 1鸣x3 0鸣x9,1鸣x10,联觉等级:80 总黄数:32 五星角色数:14 五星武器数:10 3鸣安可，2鸣卡卡罗，1鸣守岸人，1鸣今汐，1鸣维里奈，0鸣尤诺，0鸣卡提希娅，0鸣坎特蕾拉，0鸣菲比，0鸣珂莱塔，0鸣椿，0鸣相里要，0鸣折枝，0鸣凌阳 6鸣灯灯，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，3鸣釉瑚 1鸣万物持存的注释，1鸣海的呢喃，1鸣和光回唱，1鸣死与舞，1鸣诸方玄枢，1鸣时和岁稔，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣漪澜浮录 卖家说:80级总黄数: 33星声数量: 114浮金波纹数量: 28亮点: 今汐毕业1+1，珂莱塔小毕业0+1，相里要0+1小毕业，守岸人1+0，坎特蕾拉0+1，菲比0+1，卡卡罗2+1，卡提希娅0+1，尤诺0+1，可换绑
