rank,price,char5,weapon5,yellow_total,star_voice,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,product_id,title
1,126,16,13,29,0,0,0.0,2125.0,16.865,35939793,官服
2,110,13,11,24,1179,31,38.4,1793.4,16.303,30273015,官服
3,115,14,10,24,114,56,56.7,1826.7,15.884,35535674,官服
4,80,10,6,16,0,0,0.0,1190.0,14.875,35196500,官服
5,130,15,11,26,0,0,0.0,1915.0,14.731,35706803,官服
6,105,12,9,21,0,0,0.0,1545.0,14.714,35892961,官服
7,130,15,9,24,0,0,0.0,1785.0,13.731,35417411,官服
8,120,13,9,22,0,0,0.0,1625.0,13.542,34537161,官服
9,126,14,9,23,0,0,0.0,1705.0,13.532,35817834,官服
10,135,13,12,25,0,0,0.0,1820.0,13.481,34557961,官服
11,130,15,8,23,0,0,0.0,1720.0,13.231,33672237,官服
12,100,10,8,18,0,0,0.0,1320.0,13.200,35518073,官服
13,120,12,9,21,0,0,0.0,1545.0,12.875,34532026,官服
14,150,16,10,26,0,0,0.0,1930.0,12.867,35487773,官服
15,126,12,10,22,0,0,0.0,1610.0,12.778,35934753,官服
16,150,15,11,26,0,0,0.0,1915.0,12.767,35347934,官服
17,130,12,9,21,0,0,0.0,1545.0,11.885,35932571,官服
18,144,14,9,23,0,0,0.0,1705.0,11.840,35945317,官服
19,157,15,10,25,0,0,0.0,1850.0,11.783,35818411,官服
20,147,15,8,23,0,0,0.0,1720.0,11.701,35799490,官服
21,136,14,7,21,0,0,0.0,1575.0,11.581,35817757,官服
22,150,13,10,23,0,0,0.0,1690.0,11.267,35112357,官服
23,157,15,8,23,0,0,0.0,1720.0,10.955,35854032,官服
24,130,12,7,19,0,0,0.0,1415.0,10.885,34994160,官服
25,120,9,9,18,0,0,0.0,1305.0,10.875,34537064,官服
26,130,11,8,19,0,0,0.0,1400.0,10.769,35257796,官服
27,158,12,11,23,846,20,25.3,1700.3,10.761,35182308,官服
28,150,12,10,22,0,0,0.0,1610.0,10.733,34965102,官服
29,136,12,7,19,0,0,0.0,1415.0,10.404,35792759,官服
30,130,11,7,18,0,0,0.0,1335.0,10.269,34709059,官服
31,120,8,9,17,0,0,0.0,1225.0,10.208,34532132,官服
32,130,9,9,18,0,0,0.0,1305.0,10.038,28777538,官服
33,157,13,8,21,0,0,0.0,1560.0,9.936,35816370,官服
34,152,13,7,20,0,0,0.0,1495.0,9.836,34905083,官服
35,160,13,8,21,76,0,0.5,1560.5,9.753,34989398,官服
36,154,12,8,20,0,0,0.0,1480.0,9.610,34541525,官服
37,130,9,8,17,0,0,0.0,1240.0,9.538,35777377,官服
38,150,13,6,19,0,0,0.0,1430.0,9.533,35457782,官服
39,160,13,7,20,0,0,0.0,1495.0,9.344,34998618,官服
40,150,11,7,18,0,0,0.0,1335.0,8.900,35745137,官服
41,150,12,5,17,0,0,0.0,1285.0,8.567,35632501,官服
42,155,10,8,18,0,0,0.0,1320.0,8.516,33682748,官服
43,120,6,7,13,0,0,0.0,935.0,7.792,35231183,官服
44,115,7,5,12,0,0,0.0,885.0,7.696,35338519,官服
45,150,8,7,15,0,0,0.0,1095.0,7.300,34756321,官服
46,140,0,0,0,0,0,0.0,0.0,0.000,34009013,官服
47,140,0,0,0,0,0,0.0,0.0,0.000,35923649,官服 默认服
48,150,0,0,0,0,0,0.0,0.0,0.000,34763859,哔哩哔哩
49,110,0,0,0,0,0,0.0,0.0,0.000,28539238,官服
50,137,0,0,0,0,0,0.0,0.0,0.000,35208178,官服 默认服
51,135,0,0,0,0,0,0.0,0.0,0.000,34414497,哔哩哔哩
52,100,0,0,0,0,0,0.0,0.0,0.000,34189208,官服
53,130,0,0,0,0,0,0.0,0.0,0.000,34306836,官服
54,130,0,0,0,0,0,0.0,0.0,0.000,33872361,官服
55,150,0,0,0,0,0,0.0,0.0,0.000,34129569,官服
56,150,0,0,0,0,0,0.0,0.0,0.000,33874314,官服
57,150,0,0,0,0,0,0.0,0.0,0.000,34312816,官服
58,158,0,0,0,0,0,0.0,0.0,0.000,35908973,官服 默认服
59,140,0,0,0,0,0,0.0,0.0,0.000,34727356,官服
60,80,0,0,0,0,0,0.0,0.0,0.000,33962162,官服
