value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
1,26,MCHEQA,98,80,30,0.11,644.2,240.0,884.31,9.024,https://www.pzds.com/goodsDetails/MCHEQA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
2,3,MC311K,150,80,36,17.64,875.65,393.0,1286.29,8.575,https://www.pzds.com/goodsDetails/MC311K/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
3,1,MCBQS7,160,80,34,1.14,903.6,443.0,1347.74,8.423,https://www.pzds.com/goodsDetails/MCBQS7/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
4,16,MCBKG5,120,73,38,3.24,692.0,303.0,998.24,8.319,https://www.pzds.com/goodsDetails/MCBKG5/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
5,2,MC57MS,158,72,34,2.23,872.0,428.0,1302.23,8.242,https://www.pzds.com/goodsDetails/MC57MS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
6,6,MC3ST9,150,75,33,1.05,969.7,254.0,1224.75,8.165,https://www.pzds.com/goodsDetails/MC3ST9/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
7,4,MC2Z71,160,74,42,0.72,889.3,384.0,1274.03,7.963,https://www.pzds.com/goodsDetails/MC2Z71/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
8,9,MCGVQV,138,71,32,11.24,826.2,244.0,1081.44,7.837,https://www.pzds.com/goodsDetails/MCGVQV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
9,5,MCB4RP,160,80,41,7.88,943.6,283.0,1234.48,7.716,https://www.pzds.com/goodsDetails/MCB4RP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
10,14,MC2URJ,139,69,29,0.26,781.2,260.0,1041.46,7.493,https://www.pzds.com/goodsDetails/MC2URJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
11,11,MC8NQ1,140,77,35,13.29,844.6,188.0,1045.89,7.471,https://www.pzds.com/goodsDetails/MC8NQ1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
12,29,MCAVAC,117,75,26,0.81,719.35,140.0,860.16,7.352,https://www.pzds.com/goodsDetails/MCAVAC/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
13,8,MC5RD8,155,75,33,0.36,796.6,338.0,1134.96,7.322,https://www.pzds.com/goodsDetails/MC5RD8/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
14,7,MC9V6K,160,80,38,1.59,968.6,180.0,1150.19,7.189,https://www.pzds.com/goodsDetails/MC9V6K/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
15,25,MC98A1,130,80,27,5.61,770.8,120.0,896.41,6.895,https://www.pzds.com/goodsDetails/MC98A1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
16,17,MC8MF6,140,72,31,0.44,786.1,178.0,964.54,6.89,https://www.pzds.com/goodsDetails/MC8MF6/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
17,21,MC0GCS,135,64,30,0.5,706.6,214.0,921.1,6.823,https://www.pzds.com/goodsDetails/MC0GCS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
18,10,MC55R2,155,78,36,4.65,799.6,243.0,1047.25,6.756,https://www.pzds.com/goodsDetails/MC55R2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
19,28,MCHVKJ,132,65,26,6.97,710.2,160.0,877.17,6.645,https://www.pzds.com/goodsDetails/MCHVKJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
20,20,MCESSZ,140,80,32,8.58,737.1,184.0,929.68,6.641,https://www.pzds.com/goodsDetails/MCESSZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
21,13,MC2JXN,158,73,32,0.19,680.6,362.0,1042.79,6.6,https://www.pzds.com/goodsDetails/MC2JXN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
22,12,MCH4TN,160,79,29,4.86,768.35,270.0,1043.21,6.52,https://www.pzds.com/goodsDetails/MCH4TN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
23,33,MCERL3,125,72,32,1.26,591.6,220.0,812.86,6.503,https://www.pzds.com/goodsDetails/MCERL3/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
24,24,MC5MVZ,139,75,28,0.53,720.6,180.0,901.12,6.483,https://www.pzds.com/goodsDetails/MC5MVZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
25,18,MCCU7X,149,80,35,0.53,714.2,244.0,958.73,6.434,https://www.pzds.com/goodsDetails/MCCU7X/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
26,15,MC7ACK,160,80,34,35.61,718.8,274.0,1028.41,6.428,https://www.pzds.com/goodsDetails/MC7ACK/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
27,31,MC0W5U,130,66,30,10.49,581.2,232.0,823.69,6.336,https://www.pzds.com/goodsDetails/MC0W5U/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
28,19,MC7KGM,150,80,32,0.56,687.6,242.0,930.16,6.201,https://www.pzds.com/goodsDetails/MC7KGM/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
29,36,MCC7ML,122,64,21,10.52,667.6,74.0,752.12,6.165,https://www.pzds.com/goodsDetails/MCC7ML/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
30,23,MCEHQ4,150,73,35,9.93,647.6,253.0,910.52,6.07,https://www.pzds.com/goodsDetails/MCEHQ4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
31,27,MC0QQV,150,80,44,7.41,621.8,250.0,879.21,5.861,https://www.pzds.com/goodsDetails/MC0QQV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
32,37,MC4JNA,122,75,29,8.44,450.4,254.0,712.84,5.843,https://www.pzds.com/goodsDetails/MC4JNA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
33,22,MCB7UZ,159,76,36,18.0,666.15,229.0,913.15,5.743,https://www.pzds.com/goodsDetails/MCB7UZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
34,30,MCGQGD,150,75,32,0.81,593.6,234.0,828.41,5.523,https://www.pzds.com/goodsDetails/MCGQGD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
35,32,MCH6MD,160,80,40,0.33,642.8,174.0,817.12,5.107,https://www.pzds.com/goodsDetails/MCH6MD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
36,38,MCEQ82,138,74,30,2.04,531.9,170.0,703.94,5.101,https://www.pzds.com/goodsDetails/MCEQ82/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
37,34,MC3Q8U,158,77,32,13.42,571.4,220.0,804.82,5.094,https://www.pzds.com/goodsDetails/MC3Q8U/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
38,35,MC95Y4,158,73,29,11.56,521.95,220.0,753.51,4.769,https://www.pzds.com/goodsDetails/MC95Y4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
