value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,url
1,1,MC2Z71,160,74,42,1.73,928.5,364.0,1294.22,8.089,https://www.pzds.com/goodsDetails/MC2Z71/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
2,2,MCB4RP,160,80,41,12.08,972.5,283.0,1267.58,7.922,https://www.pzds.com/goodsDetails/MCB4RP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
3,3,MC9V6K,160,80,38,1.59,1007.5,180.0,1189.09,7.432,https://www.pzds.com/goodsDetails/MC9V6K/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
4,5,MC8NQ1,140,77,35,13.29,835.0,188.0,1036.29,7.402,https://www.pzds.com/goodsDetails/MC8NQ1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
5,4,MC55R2,155,78,36,9.65,805.0,243.0,1057.65,6.824,https://www.pzds.com/goodsDetails/MC55R2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
6,7,MCCU7X,149,80,35,0.53,725.0,244.0,969.53,6.507,https://www.pzds.com/goodsDetails/MCCU7X/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
7,6,MCH4TN,160,79,29,6.86,735.0,250.0,991.86,6.199,https://www.pzds.com/goodsDetails/MCH4TN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
8,8,MCEHQ4,150,73,35,10.93,685.0,233.0,928.92,6.193,https://www.pzds.com/goodsDetails/MCEHQ4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
9,9,MC0QQV,150,80,44,16.61,667.5,240.0,924.11,6.161,https://www.pzds.com/goodsDetails/MC0QQV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
10,10,MCH6MD,160,80,40,0.33,690.0,174.0,864.33,5.402,https://www.pzds.com/goodsDetails/MCH6MD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
